ANTH 0100T            Introductory Anthropology                         
MCSC 6140G            Dynamical Syst. & Bifurcations                    
NURS 1003U            Found. for Nursing Practicum I                    
NURS 4420U            Knowledge and Inquiry                             
PHY 2060U             Nuclear Physics & Relativity                      
PSYC 0304T            Psychology of Gender                              
PSYC 0376T            Neuropsychology                                   
PSYC 0379T            Aging and Cognition                               
RADI 4550U            Rad. Detection & Measurement                      
SSCI 2930U            Geographic Information Systems                    
SSCI 3023U            Domestic Violence                                 
SSCI 3024U            Criminal Gangs                                    
SSCI 3910U            Advanced Quantitative Methods                     
SOCI 0334T            Sociology of Work                                 
WMST 0315T            Women, Health & Environments                      
APBS 6100G            Adv Cell & Molecular Biology                      
APBS 6200G            Envir. Determinants of Health                     
APBS 6300G            Adv Topics in Biological Chem                     
BIOL 3060U            Fundamentals of Neuroscience                      
BUSI 4203U            Advertising Management                            
CSCI 0162T            Intro. to Information Systems                     
CSCI 0362T            Object Oriented Anly & Design                     
CSCI 3050U            Computer Architecture II                          
CSCI 3060U            Software Engineering                              
CSCI 4020U            Compilers                                         
ENGR 3000U            Automotive Component Design                       
ENGR 3070U            Probability and Random Signals                    
ENGR 3130U            Communication Systems                             
ENGR 3230U            Electronic Circuit Design                         
ENGR 3250U            Electric Machines                                 
ENGR 3410U            Electromech. Energy Conversion                    
ENGR 3490U            Microprocessor Systems Design                     
ENGR 3700U            Data Management Systems                           
ENGR 3720U            Software Design IV                                
ENGR 3960U            Prog. Languages & Compilers                       
ENGR 3980U            Software Quality                                  
ENGR 4320U            Advanced Mechatronics                             
ENGR 4450U            Thermal Environmental Eng.                        
ENGR 4460U            Nuclear Power Systems                             
ENGR 4480U            Emerging Energy Systems                           
ENGR 4530U            Hydroelectric Power Systems                       
ENGR 4610U            Corrosion for Engineers                           
ENGR 4670U            Shielding Design                                  
ENGR 4730U            Reactor Control                                   
ENGR 4780U            Nuclear Reactor Design                            
ENGR 5122G            Computational Fluid Dynamics                      
ENGR 5620G            Digital Communications                            
ENGR 5670G            Cryptography & Secure Comm.                       
ENGR 5710G            Network Computing                                 
ENGL 3155T            Stdes in the Renaissance Lyric                    
ENGL 3203T            Stdes in Rest. & 18th c. Drama                    
ENGL 3701T            Studies in Gender & Literature                    
ENVS 0357T            Pollut. Ecol. of Aquat. Ecosys                    
ENVS 2010U            Introductory Environment Sci.                     
FSCI 3020U            Forensic Biology                                  
FSCI 3030U            Criminalistics II                                 
FSCI 3040U            Forensic Chemistry                                
HLSC 3410U            Human Motor Control & Learning                    
HLSC 3630U            Health Finance                                    
HLSC 3805U            Epidemiology & Health Inquiry                     
INFR 3320U            Filmmaking                                        
INFR 3330U            Game World II                                     
INFR 3340U            Modelling and Rigging                             
INFR 3720U            Basics of Digital Transmission                    
INFR 3830U            Distributing Computing                            
INFR 3850U            Enterprise Network Mngt.                          
INFR 4410U            Routng/Switchng & Service Prov                    
INFR 4550U            Law and Ethics of IT                              
MITS 5610G            Spec. Topics: Adv Network Desi                    
MATH 4030U            Applied Functional Analysis                       
MATH 4042U            Topics in Applied Math II                         
MATH 4050U            Partial Differential Equations                    
MLSC 2131U            Clinical Microbiology I                           
MLSC 3111U            Clinical Biochemistry II                          
MLSC 3121U            Clinical Hematology II                            
MLSC 3210U            Lab Ldshp & Qual Assurance                        
MLSC 3230U            Histotechnology                                   
MLSC 3300U            Simulated Clinical Practicum                      
MCSC 6030G            High-Performance Computing                        
MCSC 6120G            Num. Meth. for Ord Diff Equat.                    
MCSC 6160G            Transport Theory                                  
NURS 1503U            Found. for Nursing Pract. II                      
NURS 4421U            Critical Thnk. and Nurs. Know.                    
PSYC 0308T            Psychology of Education                           
RADI 3530U            Radiological & Health Physics                     
RADI 4220U            Rad. Biophysics & Dosimetry                       
RADI 4320U            Therapeutic Appl of Rad Technq                    
RADI 4999U            Thesis Project II                                 
SSCI 3020U            Corporate Crime                                   
SSCI 3022U            Hate Crime                                        
SSCI 3028U            Women in the Crim. Justice Sys                    
SOCI 0344T            Social Construct. of Sexuality                    
ANTH 0327T            Anthropology of Religion                          
ANTH 0371T            The Maya                                          
BIOL 3630U            Soil-Plant Relationships                          
BUSI 2205U            Principles of Marketing                           
BUSI 3230U            Marketing Channels                                
BUSI 3405U            Equity Asset Analysis                             
BUSI 3430U            Personal Finance                                  
BUSI 3502U            E-Commerce                                        
BUSI 3750U            Advanced Entrepreneurship                         
BUSI 4420U            Working Capital Management                        
BUSI 4599U            Dir Ind Stud-E-Bus & E-Comm                       
COMM 1100U            Introduction to Communication                     
COMM 1110U            Develpmnts in Human Commnction                    
COMM 1310U            Fund. of Professional Writing                     
COMM 1420U            Computer Skills                                   
CSCI 1010T            The Digital World                                 
CSCI 1200U            Computers and Media                               
CSCI 2750T            Computer Crime & Forensics                        
CSCI 3150U            Computer Networks                                 
CSCI 4620U            Human-Computer Interaction                        
CSCI 4640U            Distributed Computing                             
EDUC 3430U            Dramatic Arts                                     
EDUC 4902U            I/S Concrnt Fld Experience III                    
ENGR 4010U            Vehicle Dynamics & Control                        
ENGR 4060U            Auto. Struct. Des. & Mat. Sel.                    
ENGR 4080U            Automotive Systems Design I                       
ENGR 4220U            Mechanical Systems Design I                       
ENGR 4230U            Thermofluids & Enrgy Sys Des I                    
ENGR 4330U            Mechatronics Systems Design I                     
ENGR 4395U            Manufacturing Systems Design I                    
ENGR 4420U            DSP Theory and Design                             
ENGR 4650U            Computer Networks                                 
ENGR 4750U            Microwave and RF Circuits                         
ENGR 4790U            Distributed Systems                               
ENGR 4850U            User Interfaces                                   
ENGR 4860U            Computer Graphics Design                          
ENGR 4900U            Software Engineering Systems I                    
ENGR 4920U            Electrical Eng. Syst. Design I                    
ENGR 5261G            Adv Mechat.: MEMS & Nanotech.                     
ENGR 5300G            Automotive Engineering                            
ENGR 5640G            Adv. Wireless Communications                      
ENGR 5920G            Anal. & Con. of Nonlinear Sys.                    
ENGR 5970G            Power Electronics                                 
ENVS 1001T            Intro to Environmental Scie.                      
ENVS 3020U            Introductory Energy Science                       
FSCI 4020U            Forensic Medicine                                 
FSCI 4030U            Drug Chemistry & Toxicology                       
FSCI 4430U            Directd Stdies in Forensic Sci                    
HLSC 1700U            Writing for Health Sciences                       
HLSC 2801U            Under. Hlth Care & Therapeut.                     
HLSC 2825U            Nutrition and Health                              
HLSC 3400U            Intro. to Movement Science                        
HLSC 3470U            Kine I: Anatomy of Human Move.                    
HLSC 3805U            Introduction to Epidemiology                      
HLSC 4201U            Adv. Health Information Mngt                      
HLSC 4801U            An Intro to Comm. Based Resea.                    
HLSC 4996U            Research Applications I                           
INFR 1310U            Graphic Design I                                  
INFR 1350U            Photo & Image Process. Techn.                     
INFR 2310U            Comp. Animation: Algo & Techn.                    
INFR 3110U            Game Engine Design & Implem.                      
INFR 3310U            Adv. Graphics & Animation                         
INFR 4320U            Artificial Intel. for Gaming                      
INFR 4350U            Virtual Reality and User Inter                    
INFR 4620U            Emerging IT Security Technol.                     
INFR 4630U            Malware Worms and Viruses                         
MITS 5110G            Legl Issues, Ethics&Inc. Hand.                    
MATH 1000U            Introductory Calculus                             
MATH 1005T            Applied Calculus                                  
MLSC 3131U            Clinical Microbiology II                          
MLSC 3230U            Microanatomy & Histotechnology                    
MCSC 6125G            Num. Meth. for Part. Dif. Equ.                    
NUCL 5040G            Monte Carlo Methods                               
NUCL 5060G            Nuclear Concepts for Eng & Sci                    
NUCL 5200G            Reactor Physics                                   
NUCL 5230G            Adv. Nuclear Thermalhydraulics                    
NUCL 5450G            Non-Destructive Analysis                          
NURS 2420U            Knowledge and Inquiry                             
NURS 2507U            Prof Pract IV (Child & Family)                    
NURS 2508U            Prof.Prac IV (Adult Hlth Chal)                    
PHY 1030U             Introductory Physics                              
PSYC 0355T            Human Sexuality                                   
PSYC 0373T            Dreams and Daydreaming                            
PSYC 2010T            Thinking Critically About Psyc                    
SSCI 1910U            Writing for Social Sciences                       
SSCI 2820U            Psychology of Deviance                            
SSCI 3920U            Advanced Qualitative Methods                      
SSCI 4030U            Restorative Justice                               
SSCI 4051U            Community Policing                                
SSCI 4053U            Police Management & Leadership                    
SSCI 4061U            Community Corrections                             
WMST 0386T            Gender, Race and Class                            
BUSI 3360U            Health and Safety                                 
BUSI 3440U            Financial Application Tools                       
BUSI 3501U            E-Business Technologies                           
BUSI 4290U            High Tech. Marketing                              
BUSI 4430U            Mergers and Acquisitions                          
COMM 1220U            Reading Our World                                 
COMM 1320U            Oral Commun. & Public Speaking                    
COMM 1410U            Computer-mediated Commun.                         
CSCI 1030U            Intro. to Computer Science                        
CSCI 2030U            Programming Workshop                              
CSCI 2160U            Digital Media                                     
CSCI 4040U            Eth., Law & Soc. Imp of  Comp.                    
EDUC 2900U            I/S Concurrent Fld Exp I                          
EDUC 2901U            I/S Concurrent Fld Exp II                         
EDUC 3440U            Teach. of Eng. as a Sec. Lang.                    
EDUC 3612U            I/S Concurrent Cont. Educ Prac                    
EDUC 3752U            I/S Concurnt Learn & Human Dev                    
ENGR 4081U            Automotive Systems Design II                      
ENGR 4100U            Modern Control Systems                            
ENGR 4110U            Power Systems                                     
ENGR 4221U            Mechanical Systems Design II                      
ENGR 4231U            Thermofluids & Engy Sys Des II                    
ENGR 4331U            Mechatronic Systems Design II                     
ENGR 4396U            Manufacturing Systs Design II                     
ENGR 4500U            Wireless Communication                            
ENGR 4830U            Real Time Systems & Control                       
ENGR 4840U            Software & Computer Security                      
ENGR 4890U            Advanced Computer Networks                        
ENGR 4901U            Software Systems Design II                        
ENGR 4921U            Electrical Eng Syst. Design II                    
ENGR 4998U            Thesis Design Project II                          
ENGR 5005G            Spl Tpcs-RF & Micro Eng Wirel.                    
ENGR 5011G            Advanced Engineering Design                       
ENGR 5101G            Thermal Energy Storage                            
ENGR 5160G            Advanced Thermodynamics                           
ENGR 5350G            Auto. Materials & Manufacturng                    
ENGR 5630G            Statistical Signal Processing                     
ENGR 5720G            Pervasive & Mobile Computing                      
ENVS 0375T            Intro. to Environ.Toxicology                      
ENVS 1002T            Intro to Environmen. Scie. II                     
FSCI 4010U            Forensic Psychology                               
FSCI 4050U            Law for Forensic Scientists                       
HLSC 2400U            Intro to Movement Science                         
HLSC 2820U            Nutrition for Nursing Practice                    
HLSC 3202U            Prog. & Data Anal. in Hlth Cre                    
HLSC 3471U            Musculoskeletal Biomechanics                      
HLSC 3480U            Prncpls of Fitness & Excercise                    
HLSC 4610U            Systs. Analysis in Health Care                    
HLSC 4620U            Qlty Improvement in Hlth Care                     
HLSC 4710U            Relations of Natural Systems                      
HLSC 4806U            Fundamentls of Clinical Trials                    
HLSC 4997U            Research Applications II                          
INFR 1015U            Linear Algebra & Phy for Games                    
INFR 1016U            Introductory Calculus                             
INFR 1320U            Graphic Design II                                 
INFR 2330U            Game Design & Production I                        
INFR 2350U            Intro to Computer Graphics                        
INFR 3330U            Game Design & Production II                       
INFR 3340U            Intermediate Animation Techniq                    
INFR 3830U            Distributed Syst. & Networking                    
INFR 4310U            Multiplayer & Online Game Devl                    
INFR 4340U            Business of Gaming                                
INFR 4390U            Demo Reel Development                             
INFR 4590U            Directed Studies in IT                            
INFR 4599U            Special Topics in IT                              
INFR 4599U            Spc Tpcs:Build Cisc Mul Swi Nt                    
INFR 4640U            Web Services Security                             
INFR 4650U            VPN and Data Privacy                              
INFR 4660U            E-Business Security                               
INFR 4680U            IT Security Policies & Proced.                    
INFR 4760U            Network Performance Analysis                      
MITS 5610G            Spec. Topics: Know. Discovery                     
NUCL 5005G            Spcl Topics-Safety Instrum Sys                    
NUCL 5030G            Transport Theory                                  
NUCL 5080G            Envi. Degradation of Materials                    
NUCL 5090G            Occupational Health and Safety                    
NUCL 5210G            Advanced Reactor Physics                          
NUCL 5240G            Heat Trans. in Nuc. Reac. App.                    
NURS 2820U            Integ. Hlth Assessment & Pharm                    
PHY 1040U             Physics for Biosciences                           
PHY 4080U             Hyd-Bsd Enrgy Syst &Fuel Cells                    
PSYC 0363T            Adlt Dev & Aging: Psyhos Pers                     
SSCI 2011U            Immigration and Refugee Law                       
SSCI 3021U            Cybercrime                                        
SSCI 3052U            Policing Diverse Communities                      
SSCI 4032U            Theory & Practice of Mediation                    
SSCI 4050U            Sem-Police Ethics & Misconduct                    
SSCI 4052U            Intern. Perspect. on Policing                     
SSCI 4054U            Crime Scene Investigation                         
SOCI 0451T            Sociology of Sport & Leisure                      
WMST 3962T            Women and the Law                                 
ANTH 2030T            Technology and Humanity                           
APBS 7050G            Research Sem in Appl. Bioscie.                    
BIOL 1020T            Current Issues in Biology I                       
BIOL 4410U            Biology Thesis Project I                          
BUSI 2550U            Introduction to Project Mngt                      
BUSI 2570U            Cybercrime                                        
BUSI 3460U            Fixed Income Strategies                           
BUSI 4210U            High-Tech Marketing                               
BUSI 5000G            Business Communication                            
BUSI 5010G            Foundations of Business                           
BUSI 5020G            Ethics and Leadership                             
BUSI 5100G            Accounting Systems                                
BUSI 5400G            Quantative Analysis in Bus.                       
CHEM 4110U            Bio-Organic Chemistry                             
CHEM 4410U            Chemistry Thesis Project I                        
COMM 2210U            Communication and Culture                         
COMM 2220U            The Media & Commun. in Canada                     
COMM 2310U            Adv. Profes. Writing & Editing                    
COMM 2510U            Business Communication                            
CSCI 2830T            Multimedia and Design                             
CSCI 4100U            Mobile Devices                                    
CSCI 4410U            Comp Science Thesis Proj I                        
CSCI 5010G            Survey of Computer Science                        
CSCI 5350G            Pervasive & Mobile Computing                      
CSCI 5540G            User Interface Technology                         
EDUC 5001G            Principles of Learning                            
EDUC 5005G            Social & Cultural Cont of Educ                    
EDUC 5205G            Leadership and Technology                         
EDUC 5303G            Tech and the Curriculum                           
ENGR 3180U            Design Principles & Proj Mgmt                     
ENGR 4120U            Intro to Power Electronics                        
ENGR 4130U            Digital Communications                            
ENGR 4800U            Advanced Operating Systems                        
ENGR 5120G            Advanced  Fluid Mechanics                         
ENGR 5161G            HVAC & Refrid. Sys Des & Anal.                    
ENGR 5243G            Mech & Dynamics of Mach Tools                     
ENGR 5660G            Communication Networks                            
ENGR 5690G            RF and Micro Eng for Wireless                     
ENGR 5930G            Adaptive Control                                  
ENGR 5995G            Grid Int. of Renew. Energy Sys                    
ENVS 1010T            Intro to Envir Science Studies                    
FSCI 4020U            Interd. Topcs in Forensic Sci.                    
FSCI 4030U            Forensic Drug Chem &Toxicology                    
FSCI 4410U            Forensic Sci Thesis Project I                     
GEOG 1030T            Human Geog in Global Context                      
GEOG 1050T            Intro to Earth's Phyiscal Eniv                    
HLSC 2800U            Health and Wellness                               
HLSC 3201U            Understanding Health Data                         
HLSC 3212U            Fund. in Managing Health Infor                    
HLSC 3730U            Hlth &Rel of Sex, Love, Friend                    
HLSC 4402U            Exercise Rehab. I                                 
HLSC 4471U            Kine. II: Muscul. Biomechanics                    
HLSC 5010G            Research in Health Sciences                       
HLSC 5020G            Studies in Community Health                       
HLSC 5201G            Adv Health Information Mngt                       
HLSC 5204G            Artifi Intellign. in Hlth Care                    
HLSC 5402G            Exercise Rehab. I                                 
INFR 1411U            Introduction to Networking I                      
INFR 2411U            Advanced Networking I                             
INFR 2600U            Intro to Computer Security                        
INFR 4599U            Spec Top in IT Human Com                          
LGLS 2100U            Public Law                                        
LGLS 2300U            Commercial and Contract Law                       
MATH 4410U            Mathematics Thesis Project I                      
MCSC 6150G            Fluid Dynamics                                    
NUCL 5290G            Adv. in Nucl. Power Plant Sys.                    
NUCL 5350G            Reg. Affairs & Licensing Cont                     
NUCL 5460G            Industrial Radiography                            
PHY 1510T             Introductory Astronomy I                          
PHY 4410U             Physics Thesis Project I                          
PSYC 2400T            Intro to Cognitive Psychology                     
PSYC 2700T            Intro to Social Psychology                        
PSYC 3510T            Dev of Adoles. & Young Adults                     
SSCI 2025U            Youth Cultures                                    
SSCI 2030U            Social Control                                    
SSCI 3060U            Punishment and Society                            
SSCI 5010G            Adv. Quantitative Methods                         
SSCI 5020G            Criminological Theory                             
ALSU 1101U            Found for Acad Learn & Success                    
ANTH 2040T            Law & Order in Anc &Contp Cult                    
APBS 7100G            Spec. Top. in Biomolecular Sci                    
APBS 7200G            Spec. Topics in Ecosystem Hlth                    
APBS 7300G            Spcl Tpics in Forensic Bioscie                    
BIOL 1030T            Current Issues in Biology II                      
BIOL 3031U            Infection and Immunity                            
BIOL 4420U            Biology Thesis Project II                         
BUSI 3530U            Website Design & Managment                        
BUSI 5450G            Bus Forecasting Techniques                        
BUSI 5500G            Management Information Syst.                      
BUSI 5600G            Operations & Project Mgmt                         
CHEM 4080U            Hydrog.-Based Sys & Fuel Cells                    
CHEM 4420U            Chemistry Thesis Project II                       
COMM 2110U            Found. of Communication Theory                    
COMM 2240U            Television                                        
COMM 2250U            Mass Commun. & Popular Culture                    
COMM 2410U            Communication & Technology                        
COMM 2610U            Interpersonal Communication                       
CSCI 2200U            Narrtv Strctr in the Digtl Age                    
CSCI 3060U            Software Eng. II: Software QA                     
CSCI 4420U            Comp Science Thesis Project II                    
EDUC 4611U            Planning for Learn. with Tech                     
EDUC 4620U            Teaching Extended Math.                           
EDUC 4622U            Mathematics for Teachers                          
EDUC 5002G            Research Methods in Education                     
EDUC 5004G            The Reflective Practitioner                       
EDUC 5104G            Learning Tools                                    
EDUC 5304G            Digital Lit: Thry, Prt & Res.                     
ENGR 2210U            Circuit Analysis                                  
ENGR 2715U            Data Structures                                   
ENGR 3100U            Modern Control Systems                            
ENGR 4110G            Power Systems                                     
ENGR 4760G            Ethics, Law & Prof. for Eng.                      
ENGR 4840G            Software & Computer Security                      
ENGR 5330G            Automotive Powertrains                            
ENGR 5910G            Embedded Real Time Control                        
ENGR 5945G            Mobile Robotic Systems                            
ENVS 1020T            Intro to Envir Sci Std Cdn Per                    
ENVS 3110U            Econ. & Politics of the Envir.                    
FSCI 4420U            Forensic Sci Thesis Project II                    
GEOG 2960T            Wlth, Powr & Space: Econ Geog                     
HLSC 3020U            Health & Exercise Psychology                      
HLSC 3202U            Hlth Data for Decision Making                     
HLSC 3481U            Exercise Physiology                               
HLSC 3501U            Health Law                                        
HLSC 4202U            H.I.M. Capstone                                   
HLSC 4403U            Exercise Rehabilitation II                        
HLSC 4910U            Intro to Com. Based Research                      
HLSC 5050G            Patient Journey Modelling                         
HLSC 5117G            Epidemiology                                      
HLSC 5403G            Exercise Rehab II                                 
HLSC 5610G            Systems Analysis in Hlth Care                     
HLSC 5910G            Intr to Comm Based Res in Hlth                    
INFR 1421U            Introduction to Networking II                     
INFR 2421U            Advanced Networking II                            
INFR 3600U            Cryptography                                      
INFR 3610U            Operating Syst. Security                          
INFR 3820U            Operating Syst. Mgmt.                             
INFR 4599U            Special Topics in IT-CCIE                         
INFR 4660U            Web Service & E-Busi. Security                    
INFR 4690U            IT Forensics                                      
LGLS 2200U            Legal Theory                                      
LGLS 2940U            Legal Research Methods                            
MTSC 6380G            Hydrg-Basd Eng Sys& Fuel Cells                    
MATH 4041U            Topics in Applied Math I                          
MATH 4420U            Mathematics Thesis Project II                     
MATH 4430U            Directed Studies in Mathematic                    
NUCL 5020G            Math. Methods in Nucl. Applic.                    
NUCL 5065G            Thermohydraulic Concepts                          
NUCL 5250G            Power Plant Thermodynamics                        
NUCL 5285G            Advanced Process Control Sys                      
NUCL 5300G            Adv. Top. in Radio. Waste Mgmt                    
NUCL 5410G            Physics of Radiation Therapy                      
NUCL 5440G            Adv. Rad. Biophys. & Microdos.                    
PHY 1520T             Introductory Astronomy II                         
PHY 4420U             Physics Thesis Project II                         
PSYC 2300T            Intro Abnormal Psychology                         
PSYC 2310T            Intro to Personality Theory                       
PSYC 2600T            Introduction to Learning                          
PSYC 3300T            Advanced Abnormal Psychology                      
PSYC 3580T            Dev of Ind wth Exceptionalties                    
PSYC 3740T            Psychology of Gender                              
SSCI 2840U            Intr to Gnder, Sex. & Jsts Std                    
SSCI 3027U            Youth Crime and Violence                          
SSCI 4010U            Policy Analysis in Jsts. Stud.                    
SSCI 4020U            Leadership and Administration                     
SSCI 5060G            Adv. Meth. in Qualt. Research                     
SSCI 5100G            Sem on Cont. Issues in Crimin.                    
WMST 0213T            Women and Health                                  
ANTH 3280T            Biocul Expl in Anthr of Health                    
APBS 6400G            Adv Topics in Forensic Biosci.                    
BUSI 1010U            Critical Thinking & Ethics                        
BUSI 1020U            Business Communications                           
BUSI 1520U            3                                                 
BUSI 1915U            Linear Algebra                                    
BUSI 3705U            Legal Environment of Business                     
BUSI 4701U            Strategic Management                              
BUSI 5200G            Marketing Management                              
COMM 2230U            Film and Video                                    
COMM 3110U            Communication Ethics                              
COMM 3410U            Web Dsgn/Multimedia Authoring                     
COMM 3520U            Public Relations                                  
COMM 3530U            Advert. & Marketing Commun.                       
COMM 3710U            Intercultural Communication                       
CSCI 3040U            Software Eng I:Req, Des & Anal                    
CSCI 3210U            Internet Based Media                              
CSCI 4100G            Mobile Devices                                    
CSCI 4620G            Human-Computer Interaction                        
CSCI 5100G            Dev. of Concurrent Software                       
EDUC 5003G            Adv. Research Meth & Design                       
EDUC 5102G            Educ Tech. & Communication                        
EDUC 5201G            Foundations of Leadership                         
EDUC 5301G            Curriculum Theory                                 
EDUC 5401G            Intro to Adult Ed & Higher Ed                     
ENGR 2230U            Statics                                           
ENGR 2710U            Object Oriented Prog & Design                     
ENGR 3650U            Software Design & Architecture                    
ENGR 4510G            Nuclear Plant Chemistry                           
ENGR 4620G            Radioactive Waste Mngt Design                     
ENGR 4640G            Nuclear Plant Operation                           
ENGR 4660G            Risk Analysis Methods                             
ENGR 4700G            Nuclear Plant Design & Simul.                     
ENGR 5005G            Sp Tp.Pollut Preve & Sust Eng.                    
ENGR 5005G            Spl Top Pro Eol Tech                              
ENGR 5013G            Adv Engineering Mathematics                       
ENGR 5223G            Adv. Manu. Processes & Method.                    
ENGR 5241G            Adv. Mechanics of Materials                       
ENGR 5370G            Auto. Design Engineering                          
ENGR 5760G            Software Metrics                                  
ENGR 5970G            Advanced Power Electronics                        
HLSC 1701U            Acad Writ Perspect in Health                      
HLSC 2110U            Clinic & Exercise Biochemistry                    
HLSC 2700U            Mathematical Reasoning in H.S.                    
HLSC 3462U            Advanced Pathophysiology                          
HLSC 4412U            Exerc Rehab I Card Resp & Meta                    
HLSC 4460U            Selct Topic in Phys Act & Hlth                    
HLSC 5070G            Res in Progress Colloquium I                      
HLSC 5291G            Adv. Top. in Hlth Informatics                     
HIST 1701T            World History to 1800                             
INFR 1340U            The Business of Gaming                            
INFR 1395U            Game Development Workshop I                       
INFR 2310U            Comp. Animation: Algor. & Tech                    
INFR 2395U            Game Development Workshop I                       
INFR 2431U            Advanced Networking III                           
INFR 3340U            Intermediate Modeling Tech                        
INFR 3395U            Game Development Workshop I                       
LGLS 2120U            International Law                                 
LGLS 2420U            Canadian Human Rights Law                         
LGLS 2500U            Information and Privacy Law                       
LGLS 3200U            Sociology of Law                                  
LGLS 3210U            Psychology of Law                                 
LGLS 3230U            Law and Globalization                             
LGLS 3410U            Labour & Employment Law                           
MITS 5610G            Sp. Tp. Knowledge Discovery                       
MITS 5900G            MITS Seminar                                      
MTSC 6000G            Grad Sem in Science Comm I                        
MTSC 6140G            Exper. Tech. in Materials Char                    
MATH 2010U            Calculus III                                      
MLSC 2130U            Found of Clinic Micro & Immun                     
MCSC 6000G            Graduate Seminar                                  
NUCL 5003G            Seminar                                           
NUCL 5260G            Reactor Containment Systems                       
NUCL 5270G            Contrl, Instrum. & Elec. Syst.                    
NUCL 5470G            Nuclear Forensic Analysis                         
NUCL 6003G            Doctoral Seminar                                  
NURS 2420U            Knowing Through Inquiry                           
NURS 2700U            Child & Fam Nurs Theory & Prac                    
NURS 2701U            Adult Health Chal Theory & Pra                    
NURS 3700U            Health Comm Nurs Theory & Prac                    
NURS 3701U            Mental Health Nurs Theory & Pr                    
NURS 4700U            Synthesis Profession Practice                     
PHIL 1004T            Informal Logic                                    
PHY 4050U             Emerging Energy Systems                           
PSYC 2030U            Abnormal Psychology                               
SSCI 5050G            Professional Seminar                              
SSCI 5400G            Special Topics in Criminology                     
WMST 1000T            Intro. to Gender: Wmns Studies                    
ANTH 4280T            Issues in Anthropol of Health                     
BIOL 2060U            Intro to Microbio & Immunology                    
BUSI 4702U            Advanced Strategic Management                     
BUSI 5410G            Financial Management                              
BUSI 6410G            Global Finance                                    
CHEM 4120U            Adv Topics in Biological Chem.                    
COMM 1610U            Interpersonal Communication                       
COMM 3320U            Writing for Business & Govrnmt                    
COMM 3330U            Scientific & Technical Writing                    
COMM 3420U            Human-Computer Interaction                        
COMM 3510U            Organizational Communication                      
COMM 3610U            Persusn, Argumntn & Negotiatn                     
CSCI 5740G            Intelligent Systems                               
EDUC 3452U            Teacher as Coach                                  
EDUC 3455U            Mental Health Issues in School                    
EDUC 4702U            Teach & Learn:Evaluate&Assess                     
EDUC 5103G            Online Technology in Education                    
EDUC 5202G            Org. Theory, Cult. & Dec. Mak.                    
EDUC 5405G            Digital Tech in Adult Educ                        
EDUC 6300G            MEd Graduate Portfolio                            
ENGR 2720U            Software Req Spec & Analys                        
ENGR 2720U            Software Req. Spec.& Analysis                     
ENGR 3720U            Intro to Artificial Intelligen                    
ENGR 4140U            Power Sys Protection Relaying                     
ENGR 4150U            Advanced Control Systems                          
ENGR 4780G            Nuclear Reactor Design                            
ENGR 5141G            Heat Exchngr Design & Analysis                    
ENGR 5221G            Computer-Integrated Manufact.                     
ENGR 5222G            Polymers & Composite Processng                    
ENGR 5320G            Automotive Aerodynamics                           
ENGR 5650G            Adaptive Systems & Application                    
ENGR 5960G            Power Sys. Oper., Anal & Plan.                    
HLSC 3463U            Human Genetics in Society                         
HLSC 3601U            Interprofess Health Care Teams                    
HLSC 4413U            Exer Rehab II Integ Case Stud                     
HLSC 4820U            Interdisciplinary Collaborat.                     
HLSC 4910G            Intro to Com. Based Research                      
HLSC 5071G            Research-in-Prog Colloquium II                    
HLSC 5111G            Public Policy & Health Promo.                     
HLSC 5119G            Program Evaluation                                
HLSC 5320G            Neuroscience in Rehab Kines.                      
HIST 1702T            World History 1800-Present                        
INFR 1396U            Game Development Workshop II                      
INFR 2350U            Intermediate Computer Graphics                    
INFR 2396U            Game Development Workshop II                      
INFR 3310U            Animation and Production                          
INFR 3396U            Game Development Workshop II                      
INFR 4391U            Spec Top in Game Dev-Adv Model                    
INFR 4391U            Spec Top in Game Dev & Entre                      
INFR 4430U            Voice                                             
LGLS 3300U            Disability and the Law                            
LGLS 3330U            Gender, Sexuality and the Law                     
LGLS 3510U            Censrshp & Freedom of Expresn                     
LGLS 3610U            Employment and Mediation                          
LGLS 3620U            Human Rights Mediation                            
MATH 2020U            Calculus IV                                       
NUCL 1530U            Radiation&Nuclear Technologies                    
NUCL 5275G            Safety Instrumented Systems                       
NUCL 5310G            Transmutation of Nuclear Waste                    
NUCL 5430G            Advanced Dosimetry                                
NURS 1700U            Older Adult Nurs Theory & Prac                    
PHIL 1003T            Phil Inq: Know, Mind & Reality                    
POSC 2000U            Canadian Politics                                 
PSYC 2020U            Social Psychology                                 
PSYC 3040U            Restorative Justice                               
SSCI 3037U            Youth Justice Policy                              
SSCI 3062U            The Prison Experience                             
SSCI 4010U            Policy Dev. in Jsts. Stud.                        
BIOL 3032U            Advanced Microbiology                             
BIOL 3660U            Ecology                                           
BUSI 1915U            Business Math I                                   
BUSI 1916U            Business Math II                                  
BUSI 3315U            Negotiation Theory & Behaviour                    
BUSI 3330U            The Management of Change                          
BUSI 3650U            Innovation Management                             
BUSI 4650U            Adv. Supply Chain Mngt.                           
BUSI 4995U            UOIT Edge Capstone Study Proj                     
CHEM 4510U            Pharmaceutical Discovery                          
COMM 1050U            Technical Communications                          
COMM 2411U            Computer-Mediated Comm                            
COMM 4110U            Communic. Research in Practice                    
